date,CHF,DKK,GBP,NOK,PLN,SEK,USD,EUR
2019-01-04,1.1256,7.4679,0.89988,9.8648,4.2957,10.246,1.1403,1.0
2019-01-11,1.1327,7.4643,0.90015,9.7578,4.2973,10.2338,1.1533,1.0
2019-01-18,1.1331,7.4649,0.88125,9.7218,4.2931,10.2515,1.1402,1.0
2019-01-25,1.131,7.4664,0.8658,9.7045,4.291,10.298,1.1346,1.0
2019-02-01,1.1396,7.4654,0.87888,9.6685,4.2739,10.3878,1.1471,1.0
2019-02-08,1.1357,7.4634,0.8749,9.7693,4.3064,10.4973,1.1346,1.0
2019-02-15,1.134,7.4612,0.87938,9.769,4.3307,10.4813,1.126,1.0
2019-02-22,1.1346,7.462,0.87263,9.7643,4.337,10.5998,1.1325,1.0
2019-03-01,1.1363,7.4613,0.85968,9.7268,4.3096,10.5003,1.1383,1.0
2019-03-08,1.1324,7.46,0.85905,9.8733,4.3002,10.6316,1.1222,1.0
2019-03-15,1.136,7.4634,0.85415,9.688,4.3049,10.4964,1.1308,1.0
2019-03-22,1.1243,7.4622,0.8589,9.6423,4.2913,10.4723,1.1302,1.0
2019-03-29,1.1181,7.4652,0.8583,9.659,4.3006,10.398,1.1235,1.0
2019-04-05,1.1235,7.4646,0.85938,9.661,4.2897,10.426,1.1233,1.0
2019-04-12,1.1326,7.4643,0.8629,9.602,4.2796,10.4788,1.1321,1.0
2019-04-19,1.1383,7.4663,0.8647,9.5978,4.2786,10.476,1.125,1.0
2019-04-26,1.1372,7.4654,0.8634,9.6653,4.2878,10.5738,1.1133,1.0
2019-05-03,1.1383,7.4657,0.85785,9.7783,4.2853,10.7043,1.1155,1.0
2019-05-10,1.1378,7.4658,0.8625,9.8193,4.296,10.8108,1.123,1.0
2019-05-17,1.1283,7.4677,0.87595,9.7953,4.3031,10.766,1.1172,1.0
2019-05-24,1.1215,7.4678,0.88318,9.7558,4.2974,10.7098,1.1187,1.0
2019-05-31,1.1214,7.468,0.88693,9.7915,4.2843,10.639,1.1151,1.0
2019-06-07,1.1191,7.468,0.88675,9.7963,4.2714,10.6562,1.1273,1.0
2019-06-14,1.1211,7.4676,0.89093,9.7728,4.2534,10.639,1.1265,1.0
2019-06-21,1.1107,7.4657,0.89425,9.686,4.2584,10.6308,1.1316,1.0
2019-06-28,1.1105,7.4636,0.89655,9.6938,4.2496,10.5633,1.138,1.0
2019-07-05,1.1126,7.4635,0.89703,9.6325,4.2449,10.5575,1.126,1.0
2019-07-12,1.1087,7.4673,0.89788,9.6208,4.2675,10.5515,1.1253,1.0
2019-07-19,1.1033,7.4662,0.89635,9.6138,4.2571,10.5195,1.1226,1.0
2019-07-26,1.1053,7.4663,0.89633,9.6913,4.267,10.5585,1.1138,1.0
2019-08-02,1.0931,7.466,0.91505,9.9105,4.3014,10.7223,1.1106,1.0
