ticker,currentPrice,currency,financialCurrency,recommendationKey,recommendationMean,numberOfAnalystOpinions,targetMeanPrice,targetHighPrice,targetLowPrice,targetMedianPrice,bpa_current,bpa_7daysAgo,bpa_30daysAgo,bpa_60daysAgo,bpa_90daysAgo,rev_hausse_30j,rev_baisse_30j,bpa_moyen,bpa_haut,bpa_bas,bpa_analystes,bpa_croissance,bpa_devise,date_releve
ARGX.BR,836.6,EUR,USD,strong_buy,1.44444,15,1034.5375,1269.4818,791.76074,1021.0071,36.774,35.705,37.34836,35.58374,34.81268,6.0,3.0,36.774,38.912,33.97,3.0,0.2326,USD,2026-09-24
ELE.MC,42.43,EUR,EUR,underperform,3.56522,23,35.71391,44.3,27.4,36.6,2.3855,2.38473,2.38109,2.34777,2.34429,9.0,0.0,2.3855,2.62312,2.04,22.0,0.016900001,EUR,2026-09-24
EVO.ST,851.4,SEK,EUR,hold,2.9375,17,754.3571,1123.9441,551.77875,740.78,6.12623,6.12568,6.12734,6.08505,6.00536,6.0,4.0,6.12623,6.57,5.6,18.0,0.1387,EUR,2026-09-24
ORNBV.HE,82.65,EUR,EUR,none,,6,76.66667,86.0,55.0,80.5,4.7456,4.69189,4.69189,4.6118,4.46015,1.0,0.0,4.7456,5.28,4.10075,6.0,0.18,EUR,2026-09-24
UU.L,1404.0,GBp,GBP,none,,14,1510.214,1650.0,1340.0,1521.5,1.09184,1.09184,1.08888,1.10385,1.11432,1.0,1.0,1.09184,1.204,0.98434,14.0,0.0242,GBP,2026-09-24
CA.PA,16.265,EUR,EUR,none,,15,16.88667,22.0,9.0,18.0,1.86989,1.87133,1.87138,1.86996,1.87604,3.0,3.0,1.86989,2.0227,1.697,13.0,0.08189999,EUR,2026-09-24
NTGY.MC,29.56,EUR,EUR,buy,2.47059,17,30.68176,35.0,24.3,31.8,2.0957,2.09031,2.09031,2.03764,2.03852,5.0,1.0,2.0957,2.35,1.88,13.0,-0.0467,EUR,2026-09-24
AENA.MC,25.98,EUR,EUR,buy,2.3913,23,27.11522,31.5,20.0,27.4,1.6201,1.6159,1.61757,1.61881,1.60502,6.0,2.0,1.6201,1.757,1.5,12.0,0.0344,EUR,2026-09-24
NXT.L,14573.989,GBp,GBP,buy,2.1,19,16243.158,18700.0,13900.0,16000.0,8.80864,8.77619,8.77573,8.67272,8.64784,13.0,3.0,8.80864,9.33357,8.4412,17.0,0.0708,GBP,2026-09-24
IHG.L,157.1,USD,USD,buy,2.3125,15,163.66667,195.0,108.0,168.0,6.50679,6.50301,6.47971,6.45384,6.45101,10.0,2.0,6.50679,6.8699,6.07,17.0,0.1314,USD,2026-09-24
