ticker,vol_3a,dd_2020,dd_2022,beta_3a
ASML.AS,36.696,-26.609,-39.664,1.581
HSBA.L,23.101,-52.33,-22.005,1.07
ROP.SW,24.367,-18.132,-27.056,0.82
SHELL.AS,21.584,-59.671,-16.625,0.253
NOVN.SW,20.811,-22.872,-14.891,0.725
AZN.L,24.582,-21.372,-14.467,0.79
NESN.SW,19.863,-17.446,-16.397,0.554
SIE.DE,28.36,-40.944,-35.115,1.603
SAP.DE,29.513,-34.538,-31.324,0.949
SAN.MC,27.171,-60.505,-29.853,1.431
TTE.PA,22.102,-49.784,-14.833,0.267
ALV.DE,17.741,-41.734,-25.76,0.888
SU.PA,28.014,-31.412,-32.794,1.422
RR.L,32.419,-83.464,-45.265,1.293
BBVA.MC,27.336,-53.796,-28.123,1.148
UBSG.SW,27.319,-37.894,-25.854,1.419
ABBN.SW,24.709,-33.899,-26.031,1.189
IBE.MC,15.501,-23.953,-14.785,0.456
UCG.MI,28.512,-55.321,-44.434,1.327
SAF.PA,25.309,-58.07,-20.363,1.324
ULVR.L,17.528,-17.913,-13.963,0.179
NOVO-B.CO,45.731,-18.088,-11.786,1.104
AIR.PA,26.43,-64.525,-23.912,1.152
ENR.DE,51.653,,-51.989,1.974
BP.L,28.301,-60.372,-16.542,0.14
BATS.L,23.938,-29.656,-10.21,0.154
BNP.PA,26.389,-53.921,-32.694,1.346
AI.PA,18.328,-24.524,-21.939,0.822
ISP.MI,22.552,-47.285,-40.437,1.295
MC.PA,30.874,-29.165,-23.093,1.338
DTE.DE,20.486,-30.182,-13.577,0.53
ZURN.SW,16.076,-34.357,-14.112,0.759
CFR.SW,33.877,-38.275,-32.85,1.598
INGA.AS,24.371,-57.938,-35.533,1.26
OR.PA,21.791,-21.54,-23.799,0.652
RIO.L,23.506,-30.908,-27.904,0.994
GSK.L,24.159,-29.99,-27.85,0.752
SAN.PA,22.977,-21.554,-23.423,0.848
CS.PA,20.217,-46.133,-21.692,0.959
BARC.L,28.891,-56.225,-33.702,1.526
LLOY.L,26.193,-60.793,-24.887,1.291
BA.L,31.377,-40.63,-15.612,0.674
IFX.DE,41.876,-48.523,-44.002,2.001
ABI.BR,25.0,-50.269,-20.333,0.894
ENEL.MI,19.631,-33.456,-36.678,0.799
NG.L,22.936,-21.635,-28.921,0.481
NWG.L,30.396,-59.345,-20.17,1.411
MUV2.DE,20.361,-44.474,-21.625,0.742
DG.PA,21.228,-39.66,-18.638,0.996
INVE-B.ST,17.837,-28.604,-27.559,1.144
DBK.DE,30.561,-49.882,-45.752,1.47
GLEN.L,31.269,-50.831,-22.93,1.056
NDA-FI.HE,19.276,-40.012,-23.444,1.004
ITX.MC,25.686,-33.208,-28.434,1.146
GLE.PA,34.409,-65.635,-42.16,1.607
REL.L,24.086,-27.911,-14.595,0.386
DHL.DE,25.134,-39.178,-43.321,1.251
ARGX.BR,34.68,-31.516,-19.802,0.493
DB1.DE,17.917,-34.911,-13.426,0.395
AAL.L,38.519,-50.75,-38.856,1.647
G.MI,19.656,-41.827,-30.772,0.965
ENI.MI,23.24,-54.381,-23.987,0.253
RMS.PA,29.124,-20.871,-32.26,1.363
STAN.L,29.746,-53.274,-18.979,1.226
NOKIA.HE,35.815,-41.281,-19.956,0.929
BAYN.DE,38.718,-45.592,-28.785,1.168
CPG.L,20.27,-49.661,-17.309,0.378
RHM.DE,46.585,-48.697,-32.258,1.069
VOLV-B.ST,24.31,-41.304,-25.744,1.279
ENGI.PA,20.695,-47.587,-26.18,0.494
BAS.DE,26.741,-39.416,-38.18,1.111
CABK.MC,25.397,-45.566,-21.973,0.902
LSEG.L,24.806,-26.146,-17.067,0.524
EL.PA,25.551,-32.44,-20.4,1.011
PRX.AS,34.527,-25.465,-46.465,1.409
ATCO-A.ST,26.189,-29.674,-39.156,1.407
SREN.SW,20.356,-51.196,-24.292,0.795
RACE.MI,31.218,-22.904,-25.185,1.174
DGE.L,24.797,-26.006,-13.008,0.847
LONN.SW,31.743,-20.639,-37.305,1.355
EOAN.DE,20.477,-27.257,-33.63,0.405
BN.PA,17.943,-34.23,-15.658,0.212
HOLN.SW,38.912,-40.347,-19.462,1.272
RWE.DE,25.314,-36.498,-16.929,0.551
RKT.L,23.361,-17.323,-16.752,0.63
ASM.AS,42.465,-40.008,-39.364,1.5
PRY.MI,34.157,-39.84,-20.589,1.437
LR.PA,26.615,-33.704,-34.382,1.102
TSCO.L,20.76,-19.63,-33.831,0.209
EBS.VI,27.281,-56.716,-47.693,1.019
HLN.L,16.274,,,0.254
SAND.ST,27.81,-34.903,-36.484,1.551
SGO.PA,29.72,-48.475,-42.492,1.671
SSE.L,25.847,-36.358,-24.157,0.572
EQNR.OL,31.783,-42.373,-16.73,-0.346
DSV.CO,31.934,-34.456,-40.605,1.128
REP.MC,28.836,-60.469,-24.845,0.3
MBG.DE,26.708,-54.127,-25.169,1.325
