ticker_ishares,place,ticker,nom_yahoo,statut
ASML,Euronext Amsterdam,ASML.AS,ASML Holding N.V.,vérifié
HSBA,London Stock Exchange,HSBA.L,HSBC Holdings plc,vérifié
ROP,SIX Swiss Exchange,ROP.SW,Roche Holding AG,vérifié
SHELL,Euronext Amsterdam,SHELL.AS,Shell plc,vérifié
NOVN,SIX Swiss Exchange,NOVN.SW,Novartis AG,vérifié
AZN,London Stock Exchange,AZN.L,AstraZeneca PLC,vérifié
NESN,SIX Swiss Exchange,NESN.SW,Nestlé S.A.,vérifié
SIE,Xetra,SIE.DE,Siemens Aktiengesellschaft,vérifié
SAP,Xetra,SAP.DE,SAP SE,vérifié
SAN,Bolsa De Madrid,SAN.MC,"Banco Santander, S.A.",vérifié
TTE,Nyse Euronext - Euronext Paris,TTE.PA,TotalEnergies SE,vérifié
ALV,Xetra,ALV.DE,Allianz SE,vérifié
SU,Nyse Euronext - Euronext Paris,SU.PA,Schneider Electric S.E.,vérifié
RR.,London Stock Exchange,RR.L,Rolls-Royce Holdings plc,vérifié
BBVA,Bolsa De Madrid,BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",vérifié
UBSG,SIX Swiss Exchange,UBSG.SW,UBS Group AG,vérifié
ABBN,SIX Swiss Exchange,ABBN.SW,ABB Ltd,vérifié
IBE,Bolsa De Madrid,IBE.MC,"Iberdrola, S.A.",vérifié
UCG,Borsa Italiana,UCG.MI,UniCredit S.p.A.,vérifié
SAF,Nyse Euronext - Euronext Paris,SAF.PA,Safran SA,vérifié
ULVR,London Stock Exchange,ULVR.L,Unilever PLC,vérifié
NOVO B,Omx Nordic Exchange Copenhagen A/S,NOVO-B.CO,Novo Nordisk A/S,vérifié
AIR,Nyse Euronext - Euronext Paris,AIR.PA,Airbus SE,vérifié
ENR,Xetra,ENR.DE,Siemens Energy AG,vérifié
BP.,London Stock Exchange,BP.L,BP p.l.c.,vérifié
BATS,London Stock Exchange,BATS.L,British American Tobacco p.l.c.,vérifié
BNP,Nyse Euronext - Euronext Paris,BNP.PA,BNP Paribas SA,vérifié
AI,Nyse Euronext - Euronext Paris,AI.PA,L'Air Liquide S.A.,vérifié
ISP,Borsa Italiana,ISP.MI,Intesa Sanpaolo S.p.A.,vérifié
MC,Nyse Euronext - Euronext Paris,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",vérifié
DTE,Xetra,DTE.DE,Deutsche Telekom AG,vérifié
ZURN,SIX Swiss Exchange,ZURN.SW,Zurich Insurance Group AG,vérifié
CFR,SIX Swiss Exchange,CFR.SW,Compagnie Financière Richemont SA,vérifié
INGA,Euronext Amsterdam,INGA.AS,ING Groep N.V.,vérifié
OR,Nyse Euronext - Euronext Paris,OR.PA,L'Oréal S.A.,vérifié
RIO,London Stock Exchange,RIO.L,Rio Tinto Group,vérifié
GSK,London Stock Exchange,GSK.L,GSK plc,vérifié
SAN,Nyse Euronext - Euronext Paris,SAN.PA,Sanofi,vérifié
CS,Nyse Euronext - Euronext Paris,CS.PA,AXA SA,vérifié
BARC,London Stock Exchange,BARC.L,Barclays PLC,vérifié
LLOY,London Stock Exchange,LLOY.L,Lloyds Banking Group plc,vérifié
BA.,London Stock Exchange,BA.L,BAE Systems plc,vérifié
IFX,Xetra,IFX.DE,Infineon Technologies AG,vérifié
ABI,Nyse Euronext - Euronext Brussels,ABI.BR,Anheuser-Busch InBev SA/NV,vérifié
ENEL,Borsa Italiana,ENEL.MI,Enel SpA,vérifié
NG.,London Stock Exchange,NG.L,National Grid plc,vérifié
NWG,London Stock Exchange,NWG.L,NatWest Group plc,vérifié
MUV2,Xetra,MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,vérifié
DG,Nyse Euronext - Euronext Paris,DG.PA,Vinci SA,vérifié
INVE B,Nasdaq Omx Nordic,INVE-B.ST,Investor AB (publ),vérifié
DBK,Xetra,DBK.DE,Deutsche Bank Aktiengesellschaft,vérifié
GLEN,London Stock Exchange,GLEN.L,Glencore plc,vérifié
NDA FI,Nasdaq Omx Helsinki Ltd.,NDA-FI.HE,Nordea Bank Abp,vérifié
ITX,Bolsa De Madrid,ITX.MC,"Industria de Diseño Textil, S.A.",vérifié
