,alternatives,cash,credit_ig_eur,crypto,equity_developed,equity_emerging,gold,govt_bonds_eur,govt_bonds_eur_short,inflation_linked,infrastructure
alternatives,1.0,-0.015466411546807932,0.027893003474914097,0.11967363756096855,0.15123990858411604,0.2142636306703873,0.3997491441491217,-0.04328289599500828,-0.01632521377543897,0.18469410848107695,0.0910851195741361
cash,-0.015466411546807932,1.0,0.03169617333378768,0.04942456687886279,0.01040289010229433,0.011306173667460982,0.03826421757038555,0.01696662851252216,0.0229757078548045,-0.0005824045677103942,0.014424487386503254
credit_ig_eur,0.027893003474914097,0.03169617333378768,1.0,0.08631275114515817,0.2715694894461877,0.1989821790360911,0.19861656901638086,0.8036150688078352,0.6960534507878695,0.660602158883655,0.292800070524712
crypto,0.11967363756096855,0.04942456687886279,0.08631275114515817,1.0,0.2902013437862035,0.23221322379828746,0.06276839751065172,0.012645354189519233,0.01726625495909522,0.049711803099493954,0.11016496846899136
equity_developed,0.15123990858411604,0.01040289010229433,0.2715694894461877,0.2902013437862035,1.0,0.5663005066392737,0.06747141766485888,0.10178295385042968,0.08115881694008611,0.14119747893907644,0.4332177454469626
equity_emerging,0.2142636306703873,0.011306173667460982,0.1989821790360911,0.23221322379828746,0.5663005066392737,1.0,0.110688971058488,0.05451225718347455,0.06054604805290593,0.08570686633322318,0.2216758581163158
gold,0.3997491441491217,0.03826421757038555,0.19861656901638086,0.06276839751065172,0.06747141766485888,0.110688971058488,1.0,0.2517799110965388,0.2597788650082174,0.25107951463851635,0.11644115662302777
govt_bonds_eur,-0.04328289599500828,0.01696662851252216,0.8036150688078352,0.012645354189519233,0.10178295385042968,0.05451225718347455,0.2517799110965388,1.0,0.7928972609684344,0.7915588169843082,0.2509421520794689
govt_bonds_eur_short,-0.01632521377543897,0.0229757078548045,0.6960534507878695,0.01726625495909522,0.08115881694008611,0.06054604805290593,0.2597788650082174,0.7928972609684344,1.0,0.6340766462939144,0.226375350158492
inflation_linked,0.18469410848107695,-0.0005824045677103942,0.660602158883655,0.049711803099493954,0.14119747893907644,0.08570686633322318,0.25107951463851635,0.7915588169843082,0.6340766462939144,1.0,0.2684520307713205
infrastructure,0.0910851195741361,0.014424487386503254,0.292800070524712,0.11016496846899136,0.4332177454469626,0.2216758581163158,0.11644115662302777,0.2509421520794689,0.226375350158492,0.2684520307713205,1.0
