,alternatives,cash,credit_ig_eur,crypto,equity_developed,equity_emerging,gold,govt_bonds_eur,govt_bonds_eur_short,inflation_linked,infrastructure
alternatives,1.0,-0.10710851495876147,0.07695110745947181,0.1896969410679053,0.14229908859896234,0.21316989622099347,0.5276979302702761,0.0555008189667583,0.08002511202543543,0.3298986759457963,0.10662070141203253
cash,-0.10710851495876147,1.0,0.03689237834626419,0.12681246844289631,0.06764652496257169,0.08430990944517777,-0.0932489105637295,-0.003172467954490341,-0.0439360383628862,-0.054699850686214885,0.01724728925739916
credit_ig_eur,0.07695110745947181,0.03689237834626419,1.0,0.16349049751047706,0.3746346385337318,0.1733544740038292,0.16321767341800192,0.8570865585117736,0.7912033201015932,0.6796545419243009,0.36286552784654813
crypto,0.1896969410679053,0.12681246844289631,0.16349049751047706,1.0,0.5050244110889793,0.4165027635604493,-0.042992248956124024,-0.027863164667075644,-0.014820786663334912,0.052267151000874375,0.17119010690289874
equity_developed,0.14229908859896234,0.06764652496257169,0.3746346385337318,0.5050244110889793,1.0,0.5984183858522698,-0.06868035407419606,0.15922645298758034,0.15198664189498773,0.2009284543484584,0.571517223076128
equity_emerging,0.21316989622099347,0.08430990944517777,0.1733544740038292,0.4165027635604493,0.5984183858522698,1.0,0.0073058721301820445,-0.009298907705596889,-0.008048289055134914,0.04432769801131776,0.19775293178362485
gold,0.5276979302702761,-0.0932489105637295,0.16321767341800192,-0.042992248956124024,-0.06868035407419606,0.0073058721301820445,1.0,0.26014509718186224,0.29656793189208147,0.390798662341557,0.15336944109087344
govt_bonds_eur,0.0555008189667583,-0.003172467954490341,0.8570865585117736,-0.027863164667075644,0.15922645298758034,-0.009298907705596889,0.26014509718186224,1.0,0.8521338056871731,0.8093490470992585,0.3106035284548927
govt_bonds_eur_short,0.08002511202543543,-0.0439360383628862,0.7912033201015932,-0.014820786663334912,0.15198664189498773,-0.008048289055134914,0.29656793189208147,0.8521338056871731,1.0,0.6863537717981002,0.3119613672823676
inflation_linked,0.3298986759457963,-0.054699850686214885,0.6796545419243009,0.052267151000874375,0.2009284543484584,0.04432769801131776,0.390798662341557,0.8093490470992585,0.6863537717981002,1.0,0.35977969842891644
infrastructure,0.10662070141203253,0.01724728925739916,0.36286552784654813,0.17119010690289874,0.571517223076128,0.19775293178362485,0.15336944109087344,0.3106035284548927,0.3119613672823676,0.35977969842891644,1.0
