ticker,name,ccy
SUOE.L,iShares € Corp Bond ESG SRI UCITS ETF EUR (Dist),
IEAC.L,iShares Core € Corp Bond UCITS ETF EUR (Dist),
ECRP.L,Amundi Index Solutions - Amundi EUR Corporate Bond ESG UCITS ETF DR (C),
IEBC.L,iShares Core € Corp Bond UCITS ETF EUR (Dist),
UEFD.DE,UBS MSCI EMU Small Cap UCITS ETF EUR dis,EUR
GRON.DE,iShares € Green Bond UCITS ETF EUR Inc,
XGBE.DE,Xtrackers EUR Corporate Green Bond UCITS ETF 1C,
EGRE.DE,BNP Paribas Easy Growth Europe UCITS ETF EUR Cap,
IBGL.L,iShares € Govt Bond 15-30yr UCITS ETF EUR (Dist),
IBGX.L,iShares € Govt Bond 3-5yr UCITS ETF EUR (Dist),
SEGA.L,iShares Core € Govt Bond UCITS ETF EUR (Dist),
X03G.DE,Xtrackers II Germany Government Bond UCITS ETF 1C,
MTH.PA,Amundi Euro Government Bond 25+Y UCITS ETF Acc,
XGLE.DE,Xtrackers II Eurozone Government Bond UCITS ETF 1C EUR,
IEGA.L,iShares Core € Govt Bond UCITS ETF EUR (Dist),
IBCI.DE,iShares € Inflation Linked Govt Bond UCITS ETF EUR (Acc),
XEIN.DE,Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF 1C,
GISG.L,Amundi Global Government Inflation-Linked Bond 1-10Y UCITS ETF GBP Hedged Dist,
INFL.L,Amundi Euro Inflation Expectations 2-10Y UCITS ETF Acc,
AGGH.MI,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),
XBAE.DE,Xtrackers II ESG Global Aggregate Bond UCITS ETF 5C - EUR Hedged,
GLAG.L,State Street SPDR Bloomberg Global Aggregate Bond UCITS ETF USD unhedged,
AGGG.L,iShares Core Global Aggregate Bond UCITS ETF USD (Dist),
CSH2.PA,Multi Units Luxembourg - Amundi Smart Overnight Return UCITS ETF Acc,
ERNE.L,iShares € Ultrashort Bond UCITS ETF EUR (Dist),
ERNA.L,iShares $ Ultrashort Bond UCITS ETF USD (Acc),
ERND.L,iShares $ Ultrashort Bond UCITS ETF USD (Dist),
C3M.PA,Amundi Euro Government Bond 0-6 M UCITS ETF Acc,
MTA.PA,Amundi Euro Government Bond 1-3Y UCITS ETF Acc,
INFR.L,iShares Global Infrastructure UCITS ETF USD (Dist),
GIN.L,State Street SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF,
NFRA.L,Rize Global Sustainable Infrastructure UCITS ETF USD Dis,
MAGI.L,State Street SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF,
DH2O.L,iShares Global Water UCITS ETF USD (Dist),
4GLD.DE,Xetra-Gold,
ZGLD.SW,Swisscanto (CH) Gold ETF EA CHF,
DBMF.L,iMGP DBi Managed Futures R USD ETF,
CTA.L,CT Automotive Group plc,
ICOM.L,iShares Diversified Commodity Swap UCITS ETF,
COMF.L,L&G Longer Dated All Commodities UCITS ETF,
CMFP.L,L&G Longer Dated All Commodities UCITS ETF,
IAUP.L,iShares Gold Producers UCITS ETF USD (Acc),
SPGP.L,iShares Gold Producers UCITS ETF USD (Acc),
GDGB.L,VanEck Gold Miners UCITS ETF,
WCOB.L,WisdomTree Enhanced Commodity UCITS ETF - USD Acc,
XDBC.DE,Xtrackers Bloomberg Commodity ex-Agriculture & Livestock Swap UCITS ETF 1C EUR Hedged,
SUJP.L,iShares MSCI Japan SRI UCITS ETF,
SAWD.L,iShares MSCI World Screened UCITS ETF USD (Acc),
XZEC.DE,Xtrackers Stoxx European Market Leaders UCITS ETF 1C,
EEDS.L,iShares MSCI USA CTB Enhanced ESG UCITS ETF USD Inc,
XZEM.DE,Xtrackers MSCI Emerging Markets ESG UCITS ETF 1C,
EMSR.L,UBS MSCI EM Socially Responsible UCITS ETF USD acc,
EGRA.L,WisdomTree Eurozone Quality Dividend Growth UCITS ETF - EUR Acc,
