date,actions_europe,usa,japon,emergents,etats_courts,etats_longs,credit_court,indexees,or,matieres,crypto
2006-10-02,100.0,100.0,100.0,100.0,100.0229,99.9205,100.0,100.0,100.0,,
2006-10-03,99.8803,100.2653,99.6891,98.6981,100.087,100.2235,100.0776,100.3686,96.604,,
2006-10-04,101.1338,101.6138,100.6677,101.5145,100.0981,100.2932,100.0969,100.4562,95.5174,,
2006-10-05,101.2726,101.9494,101.6863,103.0044,100.1063,100.3357,100.1049,100.5214,96.5818,,
2006-10-06,101.2548,102.5606,101.2423,103.4908,100.1168,100.1701,100.1131,100.2792,97.4028,,
2006-10-09,101.4714,102.646,100.3056,103.1284,100.1148,100.088,100.1139,100.1517,97.7852,,
2006-10-10,102.0785,103.3487,101.6756,104.6329,100.0983,99.9389,100.0942,99.9465,97.9798,,
2006-10-11,102.2889,103.2925,100.7737,104.1416,100.0944,99.8875,100.086,99.8767,97.8361,,
2006-10-12,103.1053,103.8881,101.5229,106.3736,100.1071,99.8974,100.1005,99.8815,98.6017,,
2006-10-13,103.5424,104.6128,101.6713,107.4741,100.0979,99.7922,100.0937,99.7308,100.8956,,
2006-10-16,103.4862,104.4723,102.4929,107.4594,100.1335,99.8119,100.1334,99.7391,101.636,,
2006-10-17,102.858,104.1113,101.8668,106.017,100.1637,99.9781,100.1691,99.96,100.7112,,
2006-10-18,103.0198,104.2984,102.5096,107.1088,100.1777,99.9187,100.1896,99.8569,100.6562,,
2006-10-19,103.1654,103.7381,101.795,106.8322,100.1622,99.7792,100.1694,99.6809,101.3533,,
2006-10-20,103.8957,103.8512,101.8098,106.4234,100.1496,99.7785,100.1524,99.6957,100.3659,,
2006-10-23,104.37,104.8703,103.4509,106.8807,100.152,99.6121,100.149,99.4538,99.1357,,
2006-10-24,104.1263,105.1158,103.4588,107.4213,100.1533,99.6279,100.1509,99.4732,99.7755,,
2006-10-25,104.5361,104.9972,103.2864,108.1797,100.1475,99.5717,100.1437,99.3945,100.3318,,
2006-10-26,104.6577,104.6764,103.3122,107.7748,100.159,99.6651,100.1611,99.5169,100.6147,,
2006-10-27,103.6053,103.6201,101.7453,105.5697,100.1858,99.9122,100.1939,99.8567,100.4137,,
2006-10-30,103.5875,103.7495,101.3604,105.4153,100.2165,100.0195,100.2258,100.0009,101.4589,100.0,
2006-10-31,103.5377,103.336,100.7522,107.0248,100.1835,99.8474,100.1862,99.7872,101.6429,99.5544,
2006-11-01,103.4653,102.7394,100.4131,106.0546,100.2557,100.1557,100.2794,100.1843,103.6345,100.2068,
2006-11-02,103.6217,102.4738,100.4307,106.1725,100.2373,100.1116,100.2556,100.1359,104.3709,100.7645,
2006-11-03,103.9633,102.8823,100.4951,107.1153,100.2026,99.9614,100.2123,99.9662,105.6153,102.3335,
2006-11-06,105.2082,103.8906,101.007,109.4979,100.2074,99.8062,100.2115,99.7332,104.7669,102.1428,
2006-11-07,105.2261,103.8528,100.4384,108.5751,100.2293,100.0146,100.2339,100.0269,104.5812,102.2686,
2006-11-08,105.8267,104.2332,99.4936,109.0165,100.229,100.024,100.2377,100.0377,103.1675,102.1752,
2006-11-09,104.7248,103.0992,97.6973,108.7703,100.2212,99.9845,100.2269,99.991,105.6731,102.1896,
2006-11-10,105.43,102.972,97.3894,108.7427,100.2779,100.1706,100.2913,100.2294,104.7259,99.9201,
2006-11-13,105.1723,103.4508,96.5855,109.3505,100.3039,100.1345,100.3272,100.159,104.4509,99.8933,
2006-11-14,105.7121,104.3247,99.5107,111.1615,100.3246,100.2466,100.3516,100.3079,103.6072,100.0686,
2006-11-15,105.7001,104.5338,99.0622,111.2717,100.3077,100.1267,100.3356,100.1457,103.871,100.4729,
2006-11-16,105.8142,105.0566,98.5015,110.4178,100.3197,100.1631,100.3487,100.1937,103.2304,99.0375,
2006-11-17,105.2111,104.6281,97.202,109.8129,100.3329,100.1241,100.3603,100.1252,103.568,99.0336,
2006-11-20,105.3473,104.9487,95.4096,109.6545,100.4021,100.3172,100.4448,100.3682,103.8093,99.8322,
2006-11-21,105.8096,104.8243,95.2742,111.161,100.3988,100.3169,100.4432,100.369,104.4216,101.0217,
2006-11-22,105.6275,104.2788,95.4539,111.1374,100.4265,100.3489,100.4769,100.403,104.0547,99.8509,
2006-11-23,105.6275,104.2788,95.4539,111.1374,100.3998,100.2237,100.4428,100.2436,104.0547,99.8509,
2006-11-24,104.3707,102.6973,94.0321,109.8762,100.4408,100.4117,100.4919,100.4979,104.539,100.2974,
2006-11-27,102.5747,100.9153,93.6179,107.4063,100.4645,100.3537,100.5229,100.4115,104.4854,100.2305,
2006-11-28,102.7122,100.8084,94.667,107.4487,100.5101,100.5214,100.5806,100.6134,103.7121,99.8111,
2006-11-29,103.9478,102.2929,96.9114,109.651,100.5093,100.5239,100.5794,100.6208,103.4813,100.9727,
2006-11-30,103.5059,101.5414,97.0721,109.2866,100.5064,100.4822,100.5705,100.5677,104.6768,101.1567,
2006-12-01,102.4444,100.634,96.557,108.1046,100.5262,100.5522,100.5954,100.6617,103.5348,100.1406,
2006-12-04,103.2551,101.4397,97.7105,110.3999,100.6075,100.7217,100.6962,100.8602,103.5735,98.4495,
2006-12-05,104.176,102.0082,97.9056,112.4723,100.5992,100.7424,100.6879,100.8965,103.2047,99.0672,
2006-12-06,103.7457,102.1704,98.7752,111.9721,100.5794,100.6138,100.657,100.7279,101.6404,98.0272,
2006-12-07,104.434,101.7276,98.8492,111.5795,100.5596,100.5303,100.6373,100.6088,101.7093,98.1494,
2006-12-08,103.3354,101.0931,97.6348,110.1873,100.5644,100.5305,100.6425,100.6043,99.7954,96.6342,
2006-12-11,105.1675,102.4807,98.8294,111.4265,100.5523,100.3252,100.6238,100.3267,101.7181,97.8949,
2006-12-12,105.1418,102.1394,98.7169,109.8014,100.5557,100.3447,100.628,100.3531,101.3769,97.3882,
2006-12-13,106.2547,102.765,98.7232,110.9558,100.5575,100.3536,100.6292,100.3632,101.8248,98.0991,
2006-12-14,107.3199,104.1555,100.1763,113.3797,100.5334,100.1125,100.6003,100.031,101.7118,99.1156,
2006-12-15,107.005,104.6228,100.6166,114.3814,100.5524,100.1574,100.6231,100.0888,100.3169,98.5113,
2006-12-18,107.1171,104.2801,99.9229,113.5249,100.5422,99.9638,100.6072,99.8251,100.3288,97.5589,
2006-12-19,106.8784,103.6787,98.7349,111.947,100.5365,99.8112,100.5982,99.6109,100.8005,97.3478,
2006-12-20,106.474,103.7778,99.5891,113.3576,100.5328,99.7627,100.5956,99.5464,100.6595,96.8003,
2006-12-21,106.2695,103.4227,100.182,113.1816,100.5292,99.7061,100.5908,99.4709,100.2913,96.4458,
2006-12-22,106.3792,103.1546,100.897,113.9933,100.5286,99.7103,100.5866,99.4831,101.0923,97.4285,
2006-12-25,106.3792,103.1546,100.897,113.9933,100.5286,99.7103,100.5888,99.4831,101.0923,97.4285,
2006-12-26,106.6461,103.9769,101.0335,115.2896,100.5286,99.7103,100.5909,99.4831,101.8431,97.6294,
2006-12-27,107.6134,104.5391,101.3457,116.7974,100.551,99.5976,100.6087,99.3188,102.1195,97.1975,
2006-12-28,107.8988,104.137,101.2402,116.3697,100.5597,99.4818,100.61,99.1417,103.0554,97.3665,
2006-12-29,107.113,103.3122,100.999,115.7162,100.5594,99.4602,100.6188,99.1265,103.1711,97.1367,
2007-01-01,107.113,103.3122,100.999,115.7162,100.5594,99.4602,100.621,99.1265,103.1711,97.1367,
2007-01-02,107.113,103.3122,100.999,115.7162,100.6208,99.6129,100.6889,99.302,103.1711,97.1367,
2007-01-03,107.8675,103.3408,101.1344,116.9381,100.64,99.642,100.7105,99.3302,101.8611,94.014,
2007-01-04,108.3052,104.178,102.8125,116.0113,100.6392,99.6002,100.7136,99.2714,101.4323,93.4345,
2007-01-05,107.6084,104.2063,100.9943,113.5556,100.613,99.4282,100.6843,99.043,99.8204,93.3237,
2007-01-08,106.9952,104.2465,101.1436,113.8971,100.6545,99.4781,100.7307,99.0874,99.9112,92.4879,
2007-01-09,106.9506,104.5029,102.1282,111.7219,100.6561,99.439,100.7292,99.0385,100.8554,92.3307,
2007-01-10,106.8449,105.3129,101.0558,111.9557,100.6414,99.3402,100.7118,98.9114,100.8669,93.2436,
2007-01-11,108.8091,106.1425,100.8984,113.7666,100.6852,99.4105,100.7634,98.9926,101.2849,93.7307,
2007-01-12,109.173,106.6757,101.9468,115.7835,100.6664,99.2259,100.7431,98.735,103.5923,95.2339,
2007-01-15,109.173,106.6757,101.9468,115.7835,100.693,99.2597,100.7697,98.7746,103.5923,95.2339,
2007-01-16,109.2728,106.5333,102.3731,116.2695,100.7135,99.3397,100.7937,98.8766,103.3231,94.3807,
2007-01-17,108.9125,106.4142,102.2157,115.6049,100.7232,99.3411,100.8048,98.8742,104.2797,94.2963,
2007-01-18,108.6083,105.8855,101.978,114.2,100.7033,99.1202,100.7812,98.5711,103.4794,93.6183,
2007-01-19,109.7242,106.0275,102.6379,116.1815,100.7206,99.3042,100.8023,98.8164,104.6442,95.4385,
2007-01-22,109.3404,105.8557,102.7883,116.2175,100.7563,99.3712,100.8421,98.8943,104.3318,95.457,
2007-01-23,109.4122,105.5727,102.7882,118.1954,100.7711,99.4433,100.8624,98.9834,106.2445,97.0137,
2007-01-24,110.7834,106.9163,104.6397,119.7753,100.7664,99.3597,100.8531,98.8696,106.9032,97.221,
2007-01-25,109.2331,105.8487,103.0856,116.2975,100.7695,99.2809,100.8599,98.7556,106.6436,96.6446,
2007-01-26,109.4868,105.8423,103.2462,117.1107,100.7512,99.0549,100.8376,98.4493,106.9179,97.7604,
2007-01-29,109.3914,105.5051,103.3371,115.2554,100.7826,99.1014,100.8696,98.5279,105.9726,95.281,
2007-01-30,110.0857,106.03,103.9641,117.0133,100.7995,99.1944,100.89,98.6565,106.6955,97.8044,
2007-01-31,110.2563,106.275,103.0763,117.4044,100.804,99.1918,100.8982,98.6504,107.2369,98.4619,
2007-02-01,111.0076,106.9442,104.4775,118.8797,100.8519,99.4324,100.9599,98.9574,107.9158,97.8086,
2007-02-02,111.3027,107.5467,104.2697,119.023,100.8824,99.331,100.9984,98.783,106.8118,98.4258,
2007-02-05,111.2255,107.8428,103.7299,119.4315,100.9409,99.6287,101.0636,99.1993,107.1263,98.6898,
2007-02-06,111.7701,107.4401,104.1811,120.1272,100.9338,99.6107,101.0566,99.1757,107.4932,98.859,
2007-02-07,111.7852,107.3544,103.7966,119.3047,100.9321,99.6507,101.0463,99.2399,106.9061,97.7982,
2007-02-08,111.3374,107.0743,102.3666,118.5133,100.9105,99.5605,101.0232,99.1165,108.2371,98.4944,
2007-02-09,111.0146,106.5472,102.9153,117.3954,100.9079,99.439,101.0175,98.9596,109.5061,99.4699,
2007-02-12,110.7354,106.5449,103.1924,116.9891,100.9415,99.3581,101.0569,98.8309,109.13,98.0495,
2007-02-13,111.2305,106.874,104.8047,118.2164,100.9416,99.3283,101.0533,98.7943,108.8324,98.3739,
2007-02-14,111.88,106.6926,105.6575,119.7706,100.9591,99.3774,101.0736,98.8341,108.8078,97.6659,
2007-02-15,111.9685,106.8711,106.5534,119.8859,100.9928,99.659,101.1194,99.2343,108.9134,98.2802,
2007-02-16,111.833,106.796,106.4582,120.134,101.0018,99.6868,101.1266,99.2712,108.8071,98.8564,
2007-02-19,111.833,106.796,106.4582,120.134,101.0049,99.5823,101.1235,99.132,108.8071,98.8564,
2007-02-20,111.8582,106.9415,106.0204,120.3579,101.0101,99.5388,101.1325,99.0672,107.0039,98.3428,
2007-02-21,111.2244,106.9707,106.1643,120.7965,101.0305,99.6223,101.1537,99.1751,110.4217,100.1046,
2007-02-22,111.643,107.0039,106.5631,120.6193,101.0306,99.5644,101.157,99.0897,110.2109,101.5284,
2007-02-23,111.8692,106.2304,107.1339,119.3538,101.0443,99.6995,101.1724,99.2765,110.7759,101.6873,
2007-02-26,111.7671,105.9341,107.6417,119.0768,101.1094,99.9607,101.2494,99.6174,111.1863,101.9709,
2007-02-27,106.0066,101.5038,104.78,109.0798,101.1483,100.0943,101.2987,99.7818,106.4872,99.6781,
2007-02-28,107.1921,102.5687,104.6631,111.836,101.2105,100.2779,101.3778,100.0103,108.2549,100.0385,
2007-03-01,106.2068,102.7203,104.6325,110.7211,101.223,100.32,101.3921,100.0729,107.6594,99.5311,
2007-03-02,105.1603,101.4139,102.9623,109.7371,101.2476,100.3446,101.4271,100.0946,104.248,98.8528,
2007-03-05,103.9649,101.0475,102.0711,107.5602,101.3006,100.5394,101.4913,100.3529,103.5858,97.881,
2007-03-06,106.3866,102.377,104.102,111.8461,101.2737,100.4536,101.4541,100.2492,105.1835,98.6371,
2007-03-07,106.4687,101.9599,103.5684,110.8222,101.2749,100.4252,101.4525,100.2163,105.1053,99.2681,
2007-03-08,107.3014,103.1079,104.7843,114.0007,101.262,100.4149,101.4293,100.2169,105.6926,99.8032,
2007-03-09,108.0203,103.342,105.0638,114.431,101.2348,100.2965,101.398,100.0654,105.5246,98.9827,
2007-03-12,107.8399,102.9314,105.3441,114.3645,101.2691,100.4003,101.4358,100.1996,105.1449,98.1248,
2007-03-13,105.1496,100.915,103.4072,111.0199,101.2832,100.4711,101.4493,100.2949,104.0667,97.4539,
2007-03-14,105.1836,101.3209,102.1339,111.5517,101.318,100.6006,101.4922,100.462,104.0706,97.3202,
2007-03-15,105.2251,101.0925,101.8355,112.055,101.3137,100.5219,101.4861,100.3526,103.7594,96.9094,
2007-03-16,105.3065,100.5443,101.4973,110.8061,101.3159,100.4798,101.4866,100.2882,104.5217,96.8315,
2007-03-19,106.6715,101.7957,102.6639,113.2805,101.3181,100.4054,101.4842,100.1883,104.7563,97.0067,
2007-03-20,107.8623,102.3316,103.5565,113.9983,101.3359,100.5031,101.5065,100.3218,105.59,96.6896,
2007-03-21,109.9327,103.3702,104.034,116.6853,101.3343,100.4438,101.5079,100.2415,105.819,97.0085,
2007-03-22,109.8001,103.7947,104.6821,116.7527,101.3696,100.5309,101.5504,100.3534,106.2382,98.68,
2007-03-23,110.6052,104.2366,105.1149,117.6213,101.3422,100.2127,101.52,99.9244,105.546,98.5807,
2007-03-26,110.5799,103.8258,104.2767,117.243,101.3678,100.1862,101.537,99.8827,106.3844,98.5583,
2007-03-27,109.685,103.3224,103.597,116.4318,101.3639,100.1334,101.5353,99.8083,105.895,98.4315,
2007-03-28,108.9442,102.9555,103.2111,114.7794,101.3734,100.0804,101.5449,99.7308,106.8589,99.3127,
2007-03-29,110.1038,102.9107,103.1979,116.8854,101.3599,100.0057,101.5325,99.63,106.0534,100.1861,
2007-03-30,110.1074,102.7471,102.3099,116.655,101.3567,99.9833,101.5274,99.6027,106.0076,99.6527,
2007-04-02,111.1021,102.7777,101.6638,117.3587,101.3672,99.9515,101.5314,99.5567,106.097,99.5898,
2007-04-03,112.085,104.2353,102.8525,119.6832,101.3689,99.8427,101.5343,99.4053,106.4236,99.4745,
2007-04-04,111.7828,103.969,103.2472,119.9947,101.3927,99.9476,101.5678,99.5477,107.6121,100.2069,
2007-04-05,112.4271,103.8004,102.5218,119.586,101.3993,99.9152,101.5756,99.4968,107.2275,100.1056,
2007-04-06,112.4271,103.8004,102.5218,119.586,101.3993,99.9152,101.5778,99.4968,107.2275,100.1056,
2007-04-09,112.4848,104.5434,102.9721,120.9661,101.3993,99.9152,101.58,99.4968,107.313,100.2313,
2007-04-10,112.8749,104.0667,102.7313,120.8408,101.4121,99.7333,101.5843,99.2388,107.7086,100.6906,
2007-04-11,112.2681,103.5809,102.2518,119.6546,101.4089,99.684,101.581,99.1727,107.5167,100.6701,
2007-04-12,112.8418,103.6469,101.7253,121.194,101.4028,99.5237,101.5705,98.9536,106.9655,100.0944,
2007-04-13,113.2211,103.8894,100.6676,121.5196,101.402,99.3802,101.5682,98.7487,108.083,100.2216,
2007-04-16,114.3955,104.8135,102.0638,122.8908,101.4306,99.4245,101.6017,98.799,108.9104,99.1939,
2007-04-17,114.064,104.7595,101.1187,121.8414,101.4508,99.5208,101.6269,98.928,107.9307,98.629,
2007-04-18,113.6515,104.5646,100.9449,120.562,101.4665,99.6718,101.6432,99.1363,108.1995,98.2289,
2007-04-19,113.3213,104.4564,100.386,119.4981,101.4619,99.57,101.642,98.9913,106.7731,97.8079,
2007-04-20,115.0815,105.717,101.0614,121.2364,101.4586,99.4464,101.6366,98.8118,108.9056,98.4673,
2007-04-23,114.2381,105.3574,99.9936,120.7984,101.4999,99.5326,101.6858,98.907,108.2478,99.2169,
