ticker,years,start,end,cagr,vol,max_dd,dd_2022,coverage,stale_days,verdict,n_repairs,venue
CW8.PA,10.0,2016-09-02,2026-09-07,0.12308164333659977,0.14780613505283266,0.3361626763417742,0.16748375474759114,0.9812404287901991,2,OK,0,3
IWDA.AS,10.0,2016-09-02,2026-09-07,0.1252267435304122,0.14955735144432838,0.33633285550677217,0.16736901497557144,0.9804747320061256,14,OK,0,3
VWCE.DE,7.1,2019-07-29,2026-09-07,0.12668035809011324,0.16017816601622592,0.33430764290457027,0.161189223190229,0.9735991379310345,13,OK,0,3
SWRD.L,7.5,2019-02-26,2026-09-07,0.14141165580157034,0.1708312487958947,0.3409736105253076,0.25541689345729623,0.9669211195928753,10,OK,0,1
EUNL.DE,10.0,2016-09-02,2026-09-07,0.12524112819215172,0.15121766980632292,0.33632247473011834,0.16773540227141648,0.9732006125574273,19,OK,0,3
IUSQ.DE,10.0,2016-09-02,2026-09-07,0.11976526235105611,0.1498958810143263,0.3360015372204518,0.16252788557882203,0.9732006125574273,35,OK,0,3
EXXT.DE,10.0,2016-09-02,2026-09-07,0.19772684531929885,0.2129770646632961,0.31420308428712884,0.3057659946399789,0.9732006125574273,16,OK,0,3
ESE.PA,10.0,2016-09-02,2026-09-07,0.14635311775583948,0.16069571091491328,0.33620571543526834,0.17189261190019467,0.9812404287901991,6,OK,0,3
PANX.PA,7.4,2019-04-25,2026-09-07,0.20731280505575267,0.21880726725073374,0.31184712154493544,0.3043189940442774,0.9823192927717108,7,OK,0,3
PUST.PA,10.0,2016-09-02,2026-09-07,0.1989359165095259,0.19858152990208727,0.3139614338599924,0.3066241357871634,0.9812404287901991,26,OK,0,3
CSPX.L,10.0,2016-09-02,2026-09-07,0.14989325154022848,0.16204098537304373,0.33904982784260373,0.24391142395442467,0.9674578866768759,6,OK,0,1
SXR8.DE,10.0,2016-09-02,2026-09-07,0.14514796722316015,0.16095554814199853,0.3378386970039121,0.17103956172434487,0.9732006125574273,10,OK,0,3
VUSA.L,5.0,2021-09-01,2026-09-07,0.12851587785085727,0.14426299503530893,0.20936856872842036,0.15656757758634887,0.9656226126814362,5,OK,0,1
EXSA.DE,10.0,2016-09-02,2026-09-07,0.09347656880267396,0.15323921024677314,0.35699646807984897,0.2067417486204427,0.9732006125574273,28,OK,0,3
MEUD.PA,2.5,2024-02-19,2026-09-07,0.15119144280078545,0.13239202001670242,0.16179756870039708,,0.9774774774774775,2,OK,0,3
EMIM.AS,10.0,2016-09-02,2026-09-07,0.08839930186876321,0.18103052218642868,0.3243098275105909,0.21311477250897704,0.9800918836140888,9,OK,0,3
AEEM.PA,10.0,2016-09-02,2026-09-07,0.08728568882823673,0.18362123175012268,0.3199381240914051,0.21746504450418858,0.9812404287901991,3,OK,0,3
VEUR.AS,10.0,2016-09-02,2026-09-07,0.09387824790817101,0.15102497407725918,0.3563305912541891,0.20193719775239494,0.9804747320061256,16,OK,0,3
WSML.L,8.4,2018-03-27,2026-09-07,0.0925288685160146,0.19407311336869848,0.41141221760799607,0.2749599458702001,0.9673469387755103,11,OK,0,1
IGLO.L,10.0,2016-09-02,2026-09-07,-0.009689391502120892,0.06642787227299529,0.2800501039808688,0.23729056195991283,0.9682235834609495,33,OK,0,1
EUNH.DE,10.0,2016-09-02,2026-09-07,-0.006940524988221064,0.055275239721930956,0.22428631365179652,0.20038416711877016,0.9739663093415007,29,OK,0,3
SWDA.L,10.0,2016-09-02,2026-09-07,0.12778121395211284,0.19579211099321076,0.27417524391794046,0.15354625880941675,0.9678407350689127,17,OK,0,1
VWRL.L,10.0,2016-09-02,2026-09-07,0.12254477575163181,0.14183915666190455,0.24984839334916498,0.1486418705026884,0.9674578866768759,16,OK,0,1
VWRP.L,7.1,2019-07-25,2026-09-07,0.12061485690601637,0.14849919075560827,0.2510408430884742,0.14876776134881076,0.9666307857911733,9,OK,0,1
ISF.L,10.0,2016-09-02,2026-09-07,0.04458776698614164,0.14832264557712765,0.37286523555381246,0.11501016200834746,0.9678407350689127,30,OK,0,1
IWDP.L,17.7,2009-01-02,2026-09-17,0.04148325726485669,0.24872826024091663,0.5044593567196928,0.20393232307285847,0.9677489177489178,67,REJET oscillation de devise,0,1
PHGP.L,10.0,2016-09-02,2026-09-07,0.12177870700075255,0.15462580583339508,0.24952448236508884,0.10761146070424421,0.9674578866768759,5,OK,0,1
PHAU.L,18.7,2008-01-02,2026-09-17,0.08694992690935988,0.1798213099635156,0.455051686828578,0.21143744077491067,0.9682507169192953,23,OK,0,1
XAD1.DE,10.0,2016-09-02,2026-09-07,0.09629744569386434,0.15818750069825485,0.2533394871666542,0.22681577401999387,0.9739663093415007,23,OK,0,3
PHAG.L,10.0,2016-09-02,2026-09-07,0.1261622020563391,0.3157468147699462,0.5104126669720779,0.3373591391561318,0.9682235834609495,24,OK,0,1
LQDE.L,10.0,2016-09-02,2026-09-07,0.019638419541290864,0.08668963063539858,0.2538162003097312,0.24428694523437877,0.9682235834609495,27,OK,0,1
SHYU.L,10.0,2016-09-02,2026-09-07,0.043977834514028924,0.0920530421810315,0.15008679549293324,0.0750682066356898,0.9674578866768759,18,OK,0,1
IDTL.L,10.0,2016-09-02,2026-09-07,-0.022922346211279976,0.14565258199153325,0.48305475099768136,0.38620649914740957,0.9682235834609495,103,OK,0,1
XMME.DE,9.2,2017-06-21,2026-09-07,0.06867838290986117,0.2020351905651926,0.31956962525609567,0.2249103981407291,0.9733777038269551,10,OK,0,3
XESC.DE,10.0,2016-09-02,2026-09-07,0.10736048315025415,0.17874722505676266,0.38505945381890505,0.23259912639509528,0.973583460949464,27,OK,0,3
RS2K.PA,10.0,2016-09-02,2026-09-07,0.09596970903721225,0.21489547267317266,0.4046405000428519,0.2126614122036481,0.9812404287901991,3,OK,0,3
MWO.PA,2.5,2024-02-19,2026-09-07,0.0564345209704471,0.14168254233428149,0.20478866480540636,,0.9774774774774775,63,OK,0,3
EXS2.DE,10.0,2016-09-02,2026-09-07,0.08130635690298749,0.19369143298886998,0.3497222264607748,0.34047047325353863,0.9732006125574273,24,OK,0,3
EXSI.DE,10.0,2016-09-02,2026-09-07,0.10286146215141345,0.16806400807198613,0.3817446884197472,0.24316723517092842,0.9732006125574273,27,OK,0,3
EXH3.DE,10.0,2016-09-02,2026-09-07,0.01387517281451367,0.1449911797102252,0.3019522316209483,0.18306559041182224,0.9732006125574273,25,OK,0,3
BTCE.DE,6.3,2020-06-08,2026-09-17,0.3323289520678332,0.5725131015049001,0.746191131000314,0.7089826333019928,0.975594874923734,6,OK,0,3
ZETH.DE,5.2,2021-06-09,2026-09-07,-0.013200524613691034,0.6700177832815204,0.7678013785916173,0.7656735010241456,0.9766252739225713,4,OK,0,3
BTC.L,1.7,2025-01-13,2026-09-17,-0.7781456118380511,1.199143486547146,0.9685393263784687,,0.9681093394077449,138,OK,0,1
IJPN.L,10.0,2016-09-02,2026-09-07,0.07382385442967654,0.20700764895912688,0.25325363470652573,0.1719427185201805,0.9678407350689127,25,OK,0,1
