ticker,name,saa_class,esg,esg_scope,domicile,distribution,years,vol,max_dd,cagr,source,role,verdict,why_vol
XZW0.DE,Xtrackers MSCI World ESG UCITS,equity_developed,True,exige,IE,acc,8.4,0.1849,0.3322,0.1092,equitydb2,primary,OK,
XZWE.DE,Xtrackers MSCI Europe ESG UCITS,equity_developed,True,exige,IE,acc,6.0,0.1538,0.2658,0.1291,equitydb2,alternate,OK,
SPXS.L,Invesco S&P 500 ESG UCITS,equity_developed,True,exige,IE,acc,16.3,0.1584,0.3396,0.1465,equitydb2,alternate,OK,
XZEM.DE,Xtrackers MSCI Emerging Markets ESG UCITS ETF 1C,equity_emerging,True,exige,,acc,6.9,0.2108,0.3716,0.0536,extension,primary,OK,
SUSM.L,iShares MSCI EM SRI UCITS,equity_emerging,True,exige,IE,acc,10.2,0.2044,0.4077,0.0815,equitydb2,alternate,OK,
EMIM.AS,iShares Core MSCI EM IMI UCITS,equity_emerging,False,exige,IE,acc,10.0,0.181,0.3243,0.0884,equitydb2,alternate,OK,
NFRA.L,Rize Global Sustainable Infrastructure UCITS ETF USD Dis,infrastructure,True,exige,,dist,3.1,0.1194,0.157,0.1076,extension,primary,OK,
XDWU.DE,Xtrackers MSCI World Utilities UCITS,infrastructure,False,exige,IE,acc,10.4,0.151,0.3361,0.0793,equitydb2,alternate,OK,
EXH3.DE,iShares STOXX Europe 600 Utilities UCITS,infrastructure,False,exige,DE,dist,10.0,0.145,0.302,0.0139,equitydb2,alternate,OK,
BTCE.DE,ETC Group BTCetc Bitcoin Exchange Traded Crypto,crypto,False,sans objet,DE,acc,6.3,0.5725,0.7462,0.3323,equitydb2,primary,OK,
ZETH.DE,ETC Group Ethereum Exchange Traded Crypto,crypto,False,sans objet,DE,acc,5.2,0.67,0.7678,-0.0132,equitydb2,alternate,OK,
ASOL.DE,21Shares Solana Staking ETP,crypto,False,sans objet,CH,acc,5.0,0.9239,0.9589,-0.0494,equitydb2,alternate,OK,
XEIN.DE,Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF 1C,inflation_linked,False,sans objet,,acc,18.7,0.0605,0.163,0.0255,extension,primary,OK,
IBCI.DE,iShares € Inflation Linked Govt Bond UCITS ETF EUR (Acc),inflation_linked,False,sans objet,,acc,17.7,0.0584,0.1637,0.0191,extension,alternate,OK,
STHE.L,iShares EUR Inflation Linked Govt Bond UCITS,inflation_linked,False,sans objet,IE,acc,12.9,0.0633,0.244,0.0282,equitydb2,alternate,OK,
XGLE.DE,Xtrackers II Eurozone Government Bond UCITS ETF 1C EUR,govt_bonds_eur,False,sans objet,,acc,18.7,0.0505,0.2259,0.0214,extension,primary,OK,
X03G.DE,Xtrackers II Germany Government Bond UCITS ETF 1C,govt_bonds_eur,False,sans objet,,acc,15.1,0.0502,0.2387,0.0007,extension,alternate,OK,
EUNA.DE,iShares Core Euro Govt Bond UCITS,govt_bonds_eur,False,sans objet,IE,acc,8.8,0.0422,0.1779,-0.0036,equitydb2,alternate,OK,
SUOE.L,iShares € Corp Bond ESG SRI UCITS ETF EUR (Dist),credit_ig_eur,True,exige,,dist,8.2,0.0542,0.1706,0.0067,extension,primary,OK,
TCBT.DE,VanEck iBoxx EUR Corporates UCITS,credit_ig_eur,False,exige,IE,acc,7.7,0.0555,0.169,0.0074,equitydb2,alternate,OK,
IEAC.L,iShares Core € Corp Bond UCITS ETF EUR (Dist),credit_ig_eur,False,exige,,dist,17.5,0.0407,0.1722,0.0237,extension,alternate,OK,
4GLD.DE,Xetra-Gold,gold,False,sans objet,,,16.8,0.1539,0.3679,0.1004,extension,primary,OK,
ZGLD.SW,Swisscanto (CH) Gold ETF EA CHF,gold,False,sans objet,,,18.7,0.1664,0.3849,0.0681,extension,alternate,OK,
