ticker,name,saa_class,esg,domicile,distribution,region,source
CW8.PA,Amundi MSCI World UCITS,equity_developed,False,LU,acc,Global,equitydb2
IWDA.AS,iShares Core MSCI World UCITS,equity_developed,False,IE,acc,Global,equitydb2
VWCE.DE,Vanguard FTSE All-World UCITS,equity_developed,False,IE,acc,Global,equitydb2
SWRD.L,SPDR MSCI World UCITS,equity_developed,False,IE,acc,Global,equitydb2
EUNL.DE,iShares Core MSCI World UCITS (DE),equity_developed,False,IE,acc,Global,equitydb2
IUSQ.DE,iShares MSCI ACWI UCITS,equity_developed,False,IE,acc,Global,equitydb2
EXXT.DE,iShares Nasdaq 100 UCITS,equity_developed,False,IE,acc,US,equitydb2
ESE.PA,BNP Easy S&P 500 UCITS,equity_developed,False,LU,acc,US,equitydb2
PANX.PA,Amundi Nasdaq-100 UCITS,equity_developed,False,LU,acc,US,equitydb2
PUST.PA,Lyxor Nasdaq-100 UCITS,equity_developed,False,LU,acc,US,equitydb2
CSPX.L,iShares Core S&P 500 UCITS,equity_developed,False,IE,acc,US,equitydb2
SXR8.DE,iShares Core S&P 500 UCITS (DE),equity_developed,False,IE,acc,US,equitydb2
VUSA.L,Vanguard S&P 500 UCITS,equity_developed,False,IE,dist,US,equitydb2
EXSA.DE,iShares STOXX Europe 600 UCITS,equity_developed,False,DE,dist,Europe,equitydb2
MEUD.PA,Lyxor STOXX Europe 600 UCITS,equity_developed,False,LU,acc,Europe,equitydb2
EMIM.AS,iShares Core MSCI EM IMI UCITS,equity_emerging,False,IE,acc,EM,equitydb2
AEEM.PA,Amundi MSCI Emerging UCITS,equity_emerging,False,LU,acc,EM,equitydb2
VEUR.AS,Vanguard FTSE Developed Europe UCITS,equity_developed,False,IE,acc,Europe,equitydb2
WSML.L,SPDR MSCI World Small Cap UCITS,equity_developed,False,IE,acc,Global,equitydb2
AGGH.PA,Lyxor Core Global Aggregate UCITS,global_agg_hedged,False,LU,acc,Global,equitydb2
